dataset,accuracy,precision,recall,f1_score
clean,0.22688963804116394,0.3389402859545837,0.37684095690797165,0.35688719973432714
fgsm,0.326916252661462,0.428849310072336,0.5497545390789371,0.4818330829121705
pgd,0.3107256919801277,0.41629547141796586,0.5243512818514766,0.46411697761837434
